Infomación espacial de variables ambientales,,,,,,,,
Tipo,,ID,Región,Descripción,Resolución espacial,Pagina web,Documentacion,
,8,COPERNICUS,Global,Repositore of oceanographic models and marine remote sensing data (Europe and global),,http://marine.copernicus.eu/services-portfolio/access-to-products/,,
,9,OCI-Clorophyll,Global,Surface clorophyll global realiable (several temporal and spatial resolutions) remote sensing mix,,http://www.esa-oceancolour-cci.org/?q=products%20description,,
,10,PODAAC,Global,"Salinity, SST, sea ice...many products (remote sensing based) at several resolutions ",,https://podaac.jpl.nasa.gov/dataaccess,,
,11,Bio-ORACLE,Global,Surface and benthic marine data,,http://www.bio-oracle.org/index.php,https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12693,
,12,Bio-ORACLE v2,Global ,,,https://www.bio-oracle.org/index.php,,
,13,GMED,Global,Global Marine Environment Datasets,,http://gmed.auckland.ac.nz/,,
,14,Etopo1,Global,Global Rief Model,,https://www.ngdc.noaa.gov/mgg/global/,https://data.nodc.noaa.gov/cgi-bin/iso?id=gov.noaa.ngdc.mgg.dem:316,
,15,WOAselect,Global,WORLD OCEAN ATLAS SELECT,,https://www.nodc.noaa.gov/OC5/SELECT/woaselect/woaselect.html?fbclid=IwAR2MkVekJ6zap_b5Pfk2MJaCNsI7pnoOJzUDxxXGnC43AmYjrgOUG_ZUwnA,,
,16,OSU TPXO Tide models,Global,"The TPXO models include complex amplitudes of MSL-relative sea-surface elevations and transports/currents for eight primary (M2, S2, N2, K2, K1, O1, P1, Q1), two long period (Mf,Mm) and 3 non-linear (M4, MS4, MN4) harmonic constituents",,https://www.tpxo.net/global,,
,17,Human Impact Marine Ecosystems,Global,,,,https://www.nature.com/articles/ncomms8615,
,18,OCEANCOLOR,Global,"Ocean color products (SST, Chl...MODIS, AVHRR..) Remote sensing mix",,https://oceancolor.gsfc.nasa.gov/,,
,19,AVHRR Pathfinder SST,Global,long-term Climate Data Record (1981–present) Temperatura superficial del mar,,https://www.ncei.noaa.gov/products/avhrr-pathfinder-sst,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:AVHRR_Pathfinder-NCEI-L3C-v5.3,
,20,,Global,A Global Map of Human Impact on Marine Ecosystems,,,https://www.science.org/doi/10.1126/science.1149345,
Aguadulce,1,EarthEnv,Global,Near-global environmental information for freshwater ecosystems in 1km resolution,,http://www.earthenv.org/streams,https://www.nature.com/articles/sdata201573,
,2,Saltmarsh,Global,Global distribution of saltmarsh (ver. 4.0) ,,http://data.unep-wcmc.org/datasets/43,,
,3,Global River Widths from Landsat (GRWL),Global,Ancho y largo de los Rios,,https://www.gislounge.com/global-dataset-river-widths-developed-landsat-imagery/,http://science.sciencemag.org/content/361/6402/585,
,4,Lansat,USA,Landsat Dynamic Surface Water Extent,,https://www.usgs.gov/core-science-systems/nli/landsat/landsat-dynamic-surface-water-extent?qt-science_support_page_related_con=0#qt-science_support_page_related_con,.,
,5,NatureMap Priority-water,Global,Water,,http://pure.iiasa.ac.at/id/eprint/17537/,,
,6,NatureMap Priority-CarbonWater,Global,Carbon water,,http://pure.iiasa.ac.at/id/eprint/17537/,,
,7,,,,,,,
Sensores Remotos,1,NDVI,Global,Earthrngine Google,,https://explorer.earthengine.google.com/#detail/LANDSAT%2FLC8_L1T_8DAY_NDVI,,
,2,Landsat ,Global,ESA-CCI LandCover,,https://www.usgs.gov/core-science-systems/nli/landsat,https://landsat.usgs.gov/landsat-surface-reflectance-data-products,
,3,Sentinel,Mesoamerica,,10 m,https://2018mexicolandcover10m.esa.int/viewer,,
,4,Imagenes de satelite,Global,Earth explorer,,https://earthexplorer.usgs.gov/,,
Desarrollo Economico,1,GDP & HDI,Global,Gridded global datasets for Gross Domestic Product and Human Development Index over 1990–2015,,https://datadryad.org/resource/doi:10.5061/dryad.dk1j0,https://www.nature.com/articles/sdata20184#f1,
,2,Expansion humana,Global,Global Urban Sprawl,,https://urbanclimate.tse.ens.titech.ac.jp/,https://www.nature.com/articles/s41597-019-0048-z?fbclid=IwAR3aCA5FyyT4RchASBdAf-ftP0M8cv69qRVM8WOiQqBNnXEtgeMZdpkxtJs,
,,,,,,,,
,,,,,,https://developers.google.com/earth-engine/datasets/,,
